,Restaurant name,Restaurant URL
0,Banh Mi Ba Le,https://www.google.ca/maps/place/Banh+Mi+Ba+Le/data=!4m5!3m4!1s0x882b34c30ed128fd:0x6c367e640886795e!8m2!3d43.6528045!4d-79.3991443?authuser=0&hl=en&rclk=1
1,Ajisen Ramen (Spadina),https://www.google.ca/maps/place/Ajisen+Ramen+(Spadina)/data=!4m5!3m4!1s0x882b34c3966ed4f7:0x71a6447306111d9f!8m2!3d43.653901!4d-79.398763?authuser=0&hl=en&rclk=1
2,Swatow Restaurant,https://www.google.ca/maps/place/Swatow+Restaurant/data=!4m5!3m4!1s0x882b34c3910fd7c5:0xd8bad0c8067790b5!8m2!3d43.653836!4d-79.3981091?authuser=0&hl=en&rclk=1
3,Pho Pasteur Restaurant,https://www.google.ca/maps/place/Pho+Pasteur+Restaurant/data=!4m5!3m4!1s0x882b34c30e721d73:0xe41e9f74691f7f9d!8m2!3d43.6525717!4d-79.3990268?authuser=0&hl=en&rclk=1
4,Dumpling House Restaurant,https://www.google.ca/maps/place/Dumpling+House+Restaurant/data=!4m5!3m4!1s0x882b34c396514419:0xd36007a96d7731be!8m2!3d43.6538027!4d-79.3986812?authuser=0&hl=en&rclk=1
5,Canteen,https://www.google.ca/maps/place/Canteen/data=!4m5!3m4!1s0x882b34c37256cc09:0x30df2a23ed5bc83c!8m2!3d43.6527506!4d-79.3982741?authuser=0&hl=en&rclk=1
6,Kim Vietnamese Restaurant,https://www.google.ca/maps/place/Kim+Vietnamese+Restaurant/data=!4m5!3m4!1s0x882b34c30585c79d:0xce290794a1fb61a4!8m2!3d43.6527752!4d-79.3994044?authuser=0&hl=en&rclk=1
7,King's Noodle Restaurant,https://www.google.ca/maps/place/King's+Noodle+Restaurant/data=!4m5!3m4!1s0x882b34c39e401e99:0x89eb3db0661e6294!8m2!3d43.653073!4d-79.3984931?authuser=0&hl=en&rclk=1
8,Taste of China Seafood Restaurant,https://www.google.ca/maps/place/Taste+of+China+Seafood+Restaurant/data=!4m5!3m4!1s0x882b34c3be6bf541:0x3da62d12532c746b!8m2!3d43.6540411!4d-79.3987676?authuser=0&hl=en&rclk=1
9,Chinese Traditional Buns,https://www.google.ca/maps/place/Chinese+Traditional+Buns/data=!4m5!3m4!1s0x882b34c30eb6e351:0x3bfa34d1bc3cebc!8m2!3d43.6528767!4d-79.3991037?authuser=0&hl=en&rclk=1
10,Seven Lives Tacos y Mariscos,https://www.google.ca/maps/place/Seven+Lives+Tacos+y+Mariscos/data=!4m5!3m4!1s0x882b34c249d71e23:0x4285a9d16fa5e961!8m2!3d43.6544782!4d-79.4008249?authuser=0&hl=en&rclk=1
11,The Famous Owl of Minerva,https://www.google.ca/maps/place/The+Famous+Owl+of+Minerva/data=!4m5!3m4!1s0x882b34c3708d82b9:0xbe37e4c1ad6a784c!8m2!3d43.6525865!4d-79.3984451?authuser=0&hl=en&rclk=1
12,Saigon Lotus,https://www.google.ca/maps/place/Saigon+Lotus/data=!4m5!3m4!1s0x882b34c3c751a4bf:0xf2a993aef3481e2a!8m2!3d43.6544072!4d-79.3992762?authuser=0&hl=en&rclk=1
13,Fresco's Fish and Chips,https://www.google.ca/maps/place/Fresco's+Fish+and+Chips/data=!4m5!3m4!1s0x882b34c2692120e5:0x3b0d32a040219271!8m2!3d43.653794!4d-79.4015188?authuser=0&hl=en&rclk=1
14,Sky Dragon Chinese Restaurant 龍翔酒樓,https://www.google.ca/maps/place/Sky+Dragon+Chinese+Restaurant+%E9%BE%8D%E7%BF%94%E9%85%92%E6%A8%93/data=!4m5!3m4!1s0x882b34c3708d82b9:0x53df82e4fb3b55a8!8m2!3d43.6525865!4d-79.3984452?authuser=0&hl=en&rclk=1
15,New Sky Restaurant,https://www.google.ca/maps/place/New+Sky+Restaurant/data=!4m5!3m4!1s0x882b34c3df9d3b9d:0xb50be23ce7ff2443!8m2!3d43.6554451!4d-79.3986664?authuser=0&hl=en&rclk=1
16,Hong Kong Bistro Cafe,https://www.google.ca/maps/place/Hong+Kong+Bistro+Cafe/data=!4m5!3m4!1s0x882b34c47bc55449:0xd4d1e92b10fa3ec8!8m2!3d43.6533686!4d-79.3968755?authuser=0&hl=en&rclk=1
17,Maker Pizza,https://www.google.ca/maps/place/Maker+Pizza/data=!4m5!3m4!1s0x882b34dcafc53cc9:0xafcae1d2248e05a8!8m2!3d43.650437!4d-79.3980951?authuser=0&hl=en&rclk=1
18,The Burgernator,https://www.google.ca/maps/place/The+Burgernator/data=!4m5!3m4!1s0x882b34c203052fa7:0x8ee7f116b0617bae!8m2!3d43.6556315!4d-79.4022193?authuser=0&hl=en&rclk=1
19,T Wok Restaurant - Chinese food,https://www.google.ca/maps/place/T+Wok+Restaurant+-+Chinese+food/data=!4m5!3m4!1s0x882b3523d49a54c9:0xc129cc87a38092df!8m2!3d43.6569576!4d-79.4001989?authuser=0&hl=en&rclk=1
20,Phở Hưng Restaurant,https://www.google.ca/maps/place/Ph%E1%BB%9F+H%C6%B0ng+Restaurant/data=!4m5!3m4!1s0x882b34c3c12241f1:0xfcbf6631e05ca02a!8m2!3d43.6544426!4d-79.3989269?authuser=0&hl=en&rclk=1
21,Amadeu's Restaurant,https://www.google.ca/maps/place/Amadeu's+Restaurant/data=!4m5!3m4!1s0x882b34c26f69bd83:0xeec90b93454eeb9e!8m2!3d43.6539988!4d-79.4019757?authuser=0&hl=en&rclk=1
22,Harmony Restaurant,https://www.google.ca/maps/place/Harmony+Restaurant/data=!4m5!3m4!1s0x882b34c479b136d1:0x1337a32e9cdaa523!8m2!3d43.6532649!4d-79.3969722?authuser=0&hl=en&rclk=1
23,The Dirty Bird Chicken + Waffles,https://www.google.ca/maps/place/The+Dirty+Bird+Chicken+%2B+Waffles/data=!4m5!3m4!1s0x882b34c236f34cc5:0xf4cceee59ba0711d!8m2!3d43.6546712!4d-79.4005591?authuser=0&hl=en&rclk=1
24,House Of Gourmet,https://www.google.ca/maps/place/House+Of+Gourmet/data=!4m5!3m4!1s0x882b34c380b1bab9:0x855eeb280fca7897!8m2!3d43.6532408!4d-79.3972088?authuser=0&hl=en&rclk=1
25,BIWON Korean Restaurant,https://www.google.ca/maps/place/BIWON+Korean+Restaurant/data=!4m5!3m4!1s0x882b34c47e776789:0xef942b34918d33de!8m2!3d43.6530506!4d-79.3968456?authuser=0&hl=en&rclk=1
26,Ka Chi Korean Restaurant,https://www.google.ca/maps/place/Ka+Chi+Korean+Restaurant/data=!4m5!3m4!1s0x89d4cfb552e6e783:0xab81b30052f7b028!8m2!3d43.6544035!4d-79.3993353?authuser=0&hl=en&rclk=1
27,Best Istanbul Restaurant,https://www.google.ca/maps/place/Best+Istanbul+Restaurant/data=!4m5!3m4!1s0x882b35767fbba04b:0x9149ddcf2bc7c2bf!8m2!3d43.6546282!4d-79.4018846?authuser=0&hl=en&rclk=1
28,The Jerk Spot,https://www.google.ca/maps/place/The+Jerk+Spot/data=!4m5!3m4!1s0x882b34daf4f64ae3:0x418971df618b6dd8!8m2!3d43.6549092!4d-79.3995177?authuser=0&hl=en&rclk=1
29,Magical Taste of China - Dundas (Halal)/ 西域食府·清真,https://www.google.ca/maps/place/Magical+Taste+of+China+-+Dundas+(Halal)%2F+%E8%A5%BF%E5%9F%9F%E9%A3%9F%E5%BA%9C%C2%B7%E6%B8%85%E7%9C%9F/data=!4m5!3m4!1s0x882b3579ff36fb1f:0x3b3c7bd03095d96a!8m2!3d43.653291!4d-79.3969082?authuser=0&hl=en&rclk=1
30,Rosewood Asian Cuisine,https://www.google.ca/maps/place/Rosewood+Asian+Cuisine/data=!4m5!3m4!1s0x882b34c47c94c14b:0xa728a7015f107ccc!8m2!3d43.6530667!4d-79.3966354?authuser=0&hl=en&rclk=1
31,Ozzy's Burgers Toronto,https://www.google.ca/maps/place/Ozzy's+Burgers+Toronto/data=!4m5!3m4!1s0x882b34c206258e9d:0xd20fff8ab7c35c90!8m2!3d43.6552668!4d-79.4026244?authuser=0&hl=en&rclk=1
